,Energy,Protein,Fat,Carbohydrate,Name,Group
479,415,0.6,12.2,75.6,Kẹo dừa mềm,Group_12
480,449,10.3,16.5,64.8,Kẹo lạc,Group_12
481,356,5.2,0.0,83.8,Kẹo ngậm bạc hà,Group_12
482,388,1.6,4.6,85.1,Kẹo sô cô la,Group_12
483,390,2.9,5.2,83.0,Kẹo sữa,Group_12
484,417,2.8,6.9,85.9,Kẹo vừng viên,Group_12
485,331,0.2,0.0,82.5,Mạch nha,Group_12
486,327,0.4,0.0,81.3,Mật ong,Group_12
487,431,5.4,8.6,82.9,Mứt lạc,Group_12
488,283,8.2,7.3,46.0,Cary bột,Group_13
489,323,9.1,5.9,58.3,Gừng khô (bột),Group_13
490,29,0.4,0.8,5.1,Gừng tươi,Group_13
491,231,7.0,7.4,34.1,Hạt tiêu,Group_13
492,0,0.0,0.0,0.0,Muối,Group_13
493,295,7.8,9.9,43.8,"Nghệ khô, bột",Group_13
494,25,1.1,0.3,4.4,Nghệ tươi,Group_13
495,227,15.6,4.2,31.8,Ớt khô bột,Group_13
496,26,0.3,-,2.5,Riềng,Group_13
497,65,10.5,0.1,5.6,Magi,Group_13
498,73,14.8,1.5,0.0,Mắm tôm đặc,Group_13
499,44,7.0,0.8,2.1,Mắm tôm loãng,Group_13
500,68,8.7,1.2,5.5,Mắm tép chua,Group_13
501,60,15.0,0.0,0.0,Nước mắm cá (loại đặc biệt),Group_13
502,28,7.1,0.00,0.0,Nước mắm loại I,Group_13
503,21,5.2,0.0,0.0,Nước mắm loại II,Group_13
504,35,5.1,0.01,3.6,Nước mắm cá,Group_13
505,131,32.8,0.0,0.0,Nước mắm cô,Group_13
506,75,3.9,0.1,14.5,Tương ngô,Group_13
507,86,4.3,0.7,15.7,Tương nếp,Group_13
508,37,0.5,0.5,7.6,Tương ớt,Group_13
509,53,6.3,0.04,6.8,Xì dầu,Group_13
510,701,0.0,77.8,0.1,Sốt mayonnaise,Group_13
511,11,0.5,0.0,2.3,"Bia (cồn: 4,5 g)",Group_14
512,0,0.0,0.0,0.0,Cô nhắc (cồn 32 g),Group_14
513,63,0.0,0.0,15.7,Cốc tain (cồn 13 g),Group_14
514,42,0.0,0.0,10.4,Coca cola,Group_14
515,23,0.7,0.2,4.5,Nước cam tươi,Group_14
516,21,0.4,0.0,4.8,Nước dừa non tươi,Group_14
517,19,0.8,0.6,2.6,Nước ép cà chua,Group_14
518,0,0.0,0.0,0.0,Nước khoáng,Group_14
519,24,0.4,0.2,5.1,Nước quít tươi,Group_14
520,0,0.0,0.0,0.0,"Rượu cam, chanh (cồn 24,2 g)",Group_14
521,167,4.0,0.0,37.7,Rượu nếp (80g/24 ml) (cồn 5 g),Group_14
522,273,-,0.0,0.0,Rượu trắng (cồn 39 g),Group_14
523,9,0.2,0.0,2.0,"Rượu vang đỏ (cồn 9,5 g)",Group_14
524,1,0.1,0.0,0.2,"Rượu vang trắng (cồn 9,5 g)",Group_14
525,24,0.2,0.0,5.9,Rượu vang trắng ngọt (cồn 10.2 g),Group_14
526,0,0.0,0.0,0.0,"Rượu Whisky (cồn 35,2 g)",Group_14
